beat_index,RR_prev(s),RR_next(s),QRS_duration(s),R_amp,QRS_max,QRS_min,record_id,RR_prev(s),RR_next(s),QRS_duration(s),R_amp,QRS_max,QRS_min
1,0.1639,0.8139,0.1,0.6411,0.6411,0.413,100,,,,,,
2,0.8139,0.8111,0.1,0.6857,0.6857,0.4231,100,,,,,,
3,0.8111,0.7889,0.1,0.6742,0.6759,0.4194,100,,,,,,
4,0.7889,0.7917,0.1,0.6606,0.6624,0.4077,100,,,,,,
5,0.7917,0.7889,0.1,0.653,0.653,0.4207,100,,,,,,
6,0.7889,0.8167,0.1,0.6629,0.6629,0.4213,100,,,,,,
7,0.8167,0.6528,0.1,0.6777,0.6777,0.4196,100,,,,,,
8,0.6528,0.9944,0.1,0.6677,0.6677,0.4162,100,,,,,,
9,0.9944,0.8444,0.1,0.6748,0.6769,0.4226,100,,,,,,
10,0.8444,0.8111,0.1,0.6704,0.6704,0.418,100,,,,,,
11,0.8111,0.7889,0.1,0.6648,0.6653,0.4182,100,,,,,,
12,0.7889,0.7722,0.1,0.6523,0.653,0.4197,100,,,,,,
13,0.7722,0.8389,0.1,0.6508,0.6508,0.4221,100,,,,,,
14,0.8389,0.8556,0.1,0.6712,0.6712,0.4204,100,,,,,,
15,0.8556,0.8222,0.1,0.6641,0.6641,0.4122,100,,,,,,
16,0.8222,0.8278,0.1,0.6513,0.6513,0.4185,100,,,,,,
17,0.8278,0.8222,0.1,0.6651,0.6654,0.425,100,,,,,,
18,0.8222,0.7944,0.1,0.6707,0.6707,0.4217,100,,,,,,
19,0.7944,0.7972,0.1,0.6513,0.6513,0.4172,100,,,,,,
20,0.7972,0.7917,0.1,0.6898,0.6902,0.42,100,,,,,,
21,0.7917,0.8222,0.1,0.6679,0.6679,0.4184,100,,,,,,
22,0.8222,0.8694,0.1,0.6845,0.6845,0.4184,100,,,,,,
23,0.8694,0.8222,0.1,0.6662,0.6662,0.4155,100,,,,,,
24,0.8222,0.7861,0.1,0.6646,0.6646,0.4187,100,,,,,,
25,0.7861,0.7917,0.1,0.6724,0.6724,0.4166,100,,,,,,
26,0.7917,0.775,0.1,0.6954,0.7012,0.4126,100,,,,,,
27,0.775,0.7861,0.1,0.6594,0.6594,0.4135,100,,,,,,
28,0.7861,0.8111,0.1,0.672,0.672,0.4216,100,,,,,,
29,0.8111,0.8167,0.1,0.6802,0.6866,0.4134,100,,,,,,
30,0.8167,0.8278,0.1,0.6725,0.6725,0.4159,100,,,,,,
31,0.8278,0.8444,0.1,0.6601,0.6601,0.4168,100,,,,,,
32,0.8444,0.8056,0.1,0.6761,0.6761,0.42,100,,,,,,
33,0.8056,0.775,0.1,0.7151,0.7151,0.4182,100,,,,,,
34,0.775,0.8,0.1,0.6657,0.6657,0.4165,100,,,,,,
35,0.8,0.7889,0.1,0.6562,0.6562,0.4121,100,,,,,,
36,0.7889,0.8583,0.1,0.6771,0.6771,0.4182,100,,,,,,
37,0.8583,0.8417,0.1,0.6884,0.6884,0.4115,100,,,,,,
38,0.8417,0.825,0.1,0.6765,0.6765,0.4142,100,,,,,,
39,0.825,0.8028,0.1,0.6617,0.6617,0.4162,100,,,,,,
40,0.8028,0.8361,0.1,0.6765,0.6765,0.4178,100,,,,,,
41,0.8361,0.7917,0.1,0.701,0.701,0.4167,100,,,,,,
42,0.7917,0.7889,0.1,0.6561,0.6561,0.4157,100,,,,,,
43,0.7889,0.8194,0.1,0.6758,0.6758,0.4152,100,,,,,,
44,0.8194,0.8444,0.1,0.6741,0.6741,0.4204,100,,,,,,
45,0.8444,0.8806,0.1,0.6895,0.6897,0.4146,100,,,,,,
46,0.8806,0.8222,0.1,0.6664,0.6664,0.4057,100,,,,,,
47,0.8222,0.7778,0.1,0.6611,0.6611,0.4185,100,,,,,,
48,0.7778,0.8028,0.1,0.6766,0.6766,0.4164,100,,,,,,
49,0.8028,0.8111,0.1,0.6725,0.6725,0.4166,100,,,,,,
50,0.8111,0.7972,0.1,0.6495,0.6495,0.4172,100,,,,,,
51,0.7972,0.8361,0.1,0.6588,0.6588,0.4173,100,,,,,,
52,0.8361,0.8306,0.1,0.6738,0.6738,0.4167,100,,,,,,
53,0.8306,0.825,0.1,0.6652,0.6652,0.4124,100,,,,,,
54,0.825,0.8111,0.1,0.6548,0.6548,0.4173,100,,,,,,
55,0.8111,0.7889,0.1,0.6595,0.6595,0.4195,100,,,,,,
56,0.7889,0.7806,0.1,0.6973,0.6973,0.4155,100,,,,,,
57,0.7806,0.8083,0.1,0.6973,0.6973,0.415,100,,,,,,
58,0.8083,0.8417,0.1,0.6557,0.6557,0.4173,100,,,,,,
59,0.8417,0.8333,0.1,0.6676,0.6676,0.4198,100,,,,,,
60,0.8333,0.8306,0.1,0.6743,0.6743,0.4137,100,,,,,,
61,0.8306,0.8056,0.1,0.7034,0.7034,0.4186,100,,,,,,
62,0.8056,0.7778,0.1,0.654,0.654,0.4194,100,,,,,,
63,0.7778,0.7972,0.1,0.6678,0.6678,0.4145,100,,,,,,
64,0.7972,0.7806,0.1,0.6594,0.6594,0.4196,100,,,,,,
65,0.7806,0.7917,0.1,0.6572,0.6603,0.4176,100,,,,,,
66,0.7917,0.8556,0.1,0.6616,0.6616,0.4196,100,,,,,,
67,0.8556,0.8472,0.1,0.6836,0.6836,0.4152,100,,,,,,
68,0.8472,0.8222,0.1,0.683,0.683,0.416,100,,,,,,
69,0.8222,0.7833,0.1,0.6496,0.6496,0.416,100,,,,,,
70,0.7833,0.7861,0.1,0.6603,0.6603,0.4196,100,,,,,,
71,0.7861,0.7861,0.1,0.6746,0.6746,0.4194,100,,,,,,
72,0.7861,0.8167,0.1,0.6591,0.6591,0.4166,100,,,,,,
73,0.8167,0.8111,0.1,0.6568,0.6568,0.4176,100,,,,,,
74,0.8111,0.85,0.1,0.676,0.676,0.4173,100,,,,,,
75,0.85,0.8333,0.1,0.6718,0.6718,0.4163,100,,,,,,
76,0.8333,0.8111,0.1,0.6604,0.6604,0.4151,100,,,,,,
77,0.8111,0.7833,0.1,0.6494,0.6494,0.4175,100,,,,,,
78,0.7833,0.7722,0.1,0.662,0.662,0.418,100,,,,,,
79,0.7722,0.7861,0.1,0.6706,0.6706,0.4179,100,,,,,,
80,0.7861,0.8028,0.1,0.6528,0.6528,0.4164,100,,,,,,
81,0.8028,0.8417,0.1,0.6604,0.6615,0.4174,100,,,,,,
82,0.8417,0.825,0.1,0.671,0.671,0.4175,100,,,,,,
83,0.825,0.8111,0.1,0.6798,0.6798,0.4158,100,,,,,,
84,0.8111,0.7778,0.1,0.6568,0.6568,0.4183,100,,,,,,
85,0.7778,0.8,0.1,0.6597,0.6597,0.4187,100,,,,,,
86,0.8,0.7889,0.1,0.723,0.723,0.4162,100,,,,,,
87,0.7889,0.8,0.1,0.6648,0.6648,0.4149,100,,,,,,
88,0.8,0.8167,0.1,0.6611,0.6611,0.4167,100,,,,,,
89,0.8167,0.8583,0.1,0.6812,0.6842,0.4185,100,,,,,,
90,0.8583,0.8306,0.1,0.6762,0.6762,0.4042,100,,,,,,
91,0.8306,0.7861,0.1,0.6614,0.662,0.4173,100,,,,,,
92,0.7861,0.7833,0.1,0.6579,0.6579,0.4203,100,,,,,,
93,0.7833,0.7917,0.1,0.6822,0.6822,0.4169,100,,,,,,
94,0.7917,0.8306,0.1,0.6799,0.6799,0.4159,100,,,,,,
95,0.8306,0.825,0.1,0.6573,0.6573,0.4165,100,,,,,,
96,0.825,0.8306,0.1,0.6809,0.6809,0.415,100,,,,,,
97,0.8306,0.8306,0.1,0.6875,0.6875,0.4094,100,,,,,,
98,0.8306,0.8222,0.1,0.677,0.677,0.4132,100,,,,,,
99,0.8222,0.7972,0.1,0.6522,0.6522,0.414,100,,,,,,
100,0.7972,0.7778,0.1,0.6524,0.6524,0.4104,100,,,,,,
101,0.7778,0.7944,0.1,0.6695,0.6695,0.4137,100,,,,,,
102,0.7944,0.8139,0.1,0.7007,0.7007,0.4133,100,,,,,,
103,0.8139,0.8583,0.1,0.6796,0.6796,0.4137,100,,,,,,
104,0.8583,0.8472,0.1,0.6699,0.6699,0.4181,100,,,,,,
105,0.8472,0.8111,0.1,0.6836,0.6836,0.4161,100,,,,,,
106,0.8111,0.7944,0.1,0.6596,0.6596,0.4152,100,,,,,,
107,0.7944,0.7861,0.1,0.665,0.665,0.4172,100,,,,,,
108,0.7861,0.7972,0.1,0.6753,0.6753,0.4146,100,,,,,,
109,0.7972,0.8111,0.1,0.6737,0.6785,0.4111,100,,,,,,
110,0.8111,0.825,0.1,0.6679,0.6716,0.4123,100,,,,,,
111,0.825,0.8472,0.1,0.6833,0.6833,0.4135,100,,,,,,
112,0.8472,0.8528,0.1,0.7142,0.7199,0.4113,100,,,,,,
113,0.8528,0.8083,0.1,0.6835,0.6835,0.4096,100,,,,,,
114,0.8083,0.7667,0.1,0.6837,0.6837,0.4148,100,,,,,,
115,0.7667,0.8,0.1,0.6711,0.6711,0.4191,100,,,,,,
116,0.8,0.8028,0.1,0.7114,0.7114,0.415,100,,,,,,
117,0.8028,0.8167,0.1,0.6609,0.6609,0.4131,100,,,,,,
118,0.8167,0.8361,0.1,0.6753,0.6753,0.4193,100,,,,,,
119,0.8361,0.8194,0.1,0.6913,0.6913,0.4145,100,,,,,,
120,0.8194,0.8278,0.1,0.678,0.678,0.4145,100,,,,,,
121,0.8278,0.7972,0.1,0.6664,0.6664,0.4131,100,,,,,,
122,0.7972,0.7806,0.1,0.668,0.668,0.4177,100,,,,,,
123,0.7806,0.7778,0.1,0.687,0.687,0.4157,100,,,,,,
124,0.7778,0.8139,0.1,0.6716,0.6716,0.4119,100,,,,,,
125,0.8139,0.8222,0.1,0.6924,0.6945,0.4153,100,,,,,,
126,0.8222,0.8639,0.1,0.6783,0.6783,0.4182,100,,,,,,
