beat_index,RR_prev(s),RR_next(s),Heart_Rate(bpm),QRS_duration(s),R_amp,QRS_max,QRS_min
1,0.1639,0.8139,366.1017,0.1,0.84,0.84,-0.485
2,0.8139,0.8111,73.7201,0.1,0.94,0.94,-0.535
3,0.8111,0.7889,73.9726,0.1,0.885,0.96,-0.57
4,0.7889,0.7917,76.0563,0.1,0.81,0.86,-0.645
5,0.7917,0.7889,75.7895,0.1,0.82,0.82,-0.565
6,0.7889,0.8167,76.0563,0.1,0.885,0.885,-0.545
7,0.8167,0.6528,73.4694,0.1,0.945,0.945,-0.535
8,0.6528,0.9944,91.9149,0.1,0.845,0.875,-0.57
9,0.9944,0.8444,60.3352,0.1,0.845,0.885,-0.575
10,0.8444,0.8111,71.0526,0.1,0.89,0.89,-0.585
11,0.8111,0.7889,73.9726,0.1,0.925,0.925,-0.545
12,0.7889,0.7722,76.0563,0.1,0.82,0.865,-0.53
13,0.7722,0.8389,77.6978,0.1,0.835,0.835,-0.54
14,0.8389,0.8556,71.5232,0.1,0.885,0.935,-0.515
15,0.8556,0.8222,70.1299,0.1,0.86,0.89,-0.575
16,0.8222,0.8278,72.973,0.1,0.795,0.795,-0.565
17,0.8278,0.8222,72.4832,0.1,0.815,0.85,-0.555
18,0.8222,0.7944,72.973,0.1,0.89,0.905,-0.555
19,0.7944,0.7972,75.5245,0.1,0.82,0.825,-0.545
20,0.7972,0.7917,75.2613,0.1,0.925,0.97,-0.57
21,0.7917,0.8222,75.7895,0.1,0.895,0.895,-0.56
22,0.8222,0.8694,72.973,0.1,0.955,0.975,-0.535
23,0.8694,0.8222,69.0096,0.1,0.875,0.875,-0.575
24,0.8222,0.7861,72.973,0.1,0.84,0.88,-0.585
25,0.7861,0.7917,76.3251,0.1,0.935,0.935,-0.585
26,0.7917,0.775,75.7895,0.1,0.93,1.05,-0.575
27,0.775,0.7861,77.4194,0.1,0.88,0.88,-0.58
28,0.7861,0.8111,76.3251,0.1,0.92,0.92,-0.565
29,0.8111,0.8167,73.9726,0.1,0.855,0.955,-0.645
30,0.8167,0.8278,73.4694,0.1,0.845,0.845,-0.665
31,0.8278,0.8444,72.4832,0.1,0.725,0.725,-0.68
32,0.8444,0.8056,71.0526,0.1,0.8,0.83,-0.67
