beat_index,RR_prev(s),RR_next(s),Heart_Rate(bpm),R_amp,QRS_max,QRS_min
2,0.8139,0.8111,73.7201,1.1957,1.1957,-0.2026
3,0.8111,0.7889,73.9726,1.134,1.1435,-0.222
4,0.7889,0.7917,76.0563,1.0618,1.0714,-0.2845
5,0.7917,0.7889,75.7895,1.0214,1.0214,-0.2153
6,0.7889,0.8167,76.0563,1.0741,1.0741,-0.2119
7,0.8167,0.6528,73.4694,1.1528,1.1528,-0.2214
8,0.6528,0.9944,91.9149,1.0995,1.0995,-0.2393
9,0.9944,0.8444,60.3352,1.1377,1.1484,-0.205
10,0.8444,0.8111,71.0526,1.1139,1.1139,-0.2298
11,0.8111,0.7889,73.9726,1.0842,1.0869,-0.2288
12,0.7889,0.7722,76.0563,1.0179,1.0212,-0.2206
13,0.7722,0.8389,77.6978,1.0095,1.0095,-0.208
14,0.8389,0.8556,71.5232,1.1182,1.1182,-0.2168
15,0.8556,0.8222,70.1299,1.0805,1.0805,-0.2608
16,0.8222,0.8278,72.973,1.0121,1.0121,-0.2271
17,0.8278,0.8222,72.4832,1.0856,1.0873,-0.1924
18,0.8222,0.7944,72.973,1.1155,1.1155,-0.2102
19,0.7944,0.7972,75.5245,1.0123,1.0123,-0.2337
20,0.7972,0.7917,75.2613,1.2175,1.2196,-0.219
21,0.7917,0.8222,75.7895,1.1008,1.1008,-0.2278
22,0.8222,0.8694,72.973,1.1892,1.1892,-0.2275
23,0.8694,0.8222,69.0096,1.0918,1.0918,-0.2428
24,0.8222,0.7861,72.973,1.0833,1.0833,-0.2261
25,0.7861,0.7917,76.3251,1.1245,1.1245,-0.2371
26,0.7917,0.775,75.7895,1.2473,1.278,-0.2583
27,0.775,0.7861,77.4194,1.0553,1.0553,-0.2535
28,0.7861,0.8111,76.3251,1.1228,1.1228,-0.2108
29,0.8111,0.8167,73.9726,1.1662,1.2003,-0.254
30,0.8167,0.8278,73.4694,1.1252,1.1252,-0.2408
31,0.8278,0.8444,72.4832,1.0592,1.0592,-0.236
32,0.8444,0.8056,71.0526,1.1445,1.1445,-0.2189
33,0.8056,0.775,74.4828,1.3522,1.3522,-0.2285
34,0.775,0.8,77.4194,1.0889,1.0889,-0.2374
35,0.8,0.7889,75.0,1.0385,1.0385,-0.2609
36,0.7889,0.8583,76.0563,1.1498,1.1498,-0.2288
37,0.8583,0.8417,69.9029,1.2101,1.2101,-0.2642
38,0.8417,0.825,71.2871,1.1464,1.1464,-0.25
39,0.825,0.8028,72.7273,1.0675,1.0675,-0.2395
40,0.8028,0.8361,74.7405,1.1463,1.1463,-0.2307
41,0.8361,0.7917,71.7608,1.2768,1.2768,-0.2366
42,0.7917,0.7889,75.7895,1.0382,1.0382,-0.2422
43,0.7889,0.8194,76.0563,1.1429,1.1429,-0.2446
44,0.8194,0.8444,73.2203,1.1336,1.1336,-0.2169
45,0.8444,0.8806,71.0526,1.2156,1.2166,-0.2479
46,0.8806,0.8222,68.1388,1.0929,1.0929,-0.2954
47,0.8222,0.7778,72.973,1.0645,1.0645,-0.2271
48,0.7778,0.8028,77.1429,1.1468,1.1468,-0.2384
49,0.8028,0.8111,74.7405,1.1253,1.1253,-0.2373
50,0.8111,0.7972,73.9726,1.0027,1.0027,-0.2339
51,0.7972,0.8361,75.2613,1.0524,1.0524,-0.2333
52,0.8361,0.8306,71.7608,1.1322,1.1322,-0.2365
53,0.8306,0.825,72.2408,1.0862,1.0862,-0.2597
54,0.825,0.8111,72.7273,1.0311,1.0311,-0.2333
55,0.8111,0.7889,73.9726,1.056,1.056,-0.2217
56,0.7889,0.7806,76.0563,1.2575,1.2575,-0.2429
57,0.7806,0.8083,76.8683,1.2572,1.2572,-0.2455
